# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -3.139      -2.853           7        20.0       400.0     0.1458074     1.8185321    -1.6468065     0.6708167     -0.099854 
     -2.853        -2.5           7        20.0       750.0     1.2595212    -0.7122066     0.5144872    -0.1437318     0.0138726 
       -2.5      -2.322           7        20.0       750.0     1.6734772     -1.460251     1.0279692    -0.3020971     0.0322982 
     -2.322       -1.93           7        20.0      1000.0     1.3863513    -0.9102412     0.6618218    -0.2009333     0.0224192 
      -1.93      -1.653           7        20.0      1500.0     1.1285355    -0.3172371     0.1904354    -0.0430729     0.0032972 
     -1.653      -1.305           7        20.0      2000.0     0.8875185     0.1473041    -0.1306321     0.0518504    -0.0069161 
     -1.305      -0.783           7        20.0      3500.0     0.9977374    -0.0757158     0.0440321    -0.0071998     0.0002345 
     -0.783        -0.0           7        20.0     10000.0     0.8606235     0.1658668    -0.0986731     0.0276459    -0.0027942 
        0.0       0.783           7        20.0     10000.0     0.8606235     0.1658668    -0.0986731     0.0276459    -0.0027942 
      0.783       1.305           7        20.0      3500.0     0.9977374    -0.0757158     0.0440321    -0.0071998     0.0002345 
      1.305       1.653           7        20.0      2000.0     0.8875185     0.1473041    -0.1306321     0.0518504    -0.0069161 
      1.653        1.93           7        20.0      1500.0     1.1285355    -0.3172371     0.1904354    -0.0430729     0.0032972 
       1.93       2.322           7        20.0      1000.0     1.3863513    -0.9102412     0.6618218    -0.2009333     0.0224192 
      2.322         2.5           7        20.0       750.0     1.6734772     -1.460251     1.0279692    -0.3020971     0.0322982 
        2.5       2.853           7        20.0       750.0     1.2595212    -0.7122066     0.5144872    -0.1437318     0.0138726 
      2.853       3.139           7        20.0       400.0     0.1458074     1.8185321    -1.6468065     0.6708167     -0.099854 
      3.139       3.489           7        20.0       300.0     1.6596072    -1.5572204     1.1831513     -0.371371     0.0418125 
      3.489       5.191           7        20.0       200.0     0.4312605     1.2703998    -1.1632859     0.4828262    -0.0745293 
[dJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0     1.6478278    -1.5798517     1.3287325    -0.4809086      0.064409 
     -3.489      -3.139           7        20.0       400.0     1.4533299    -1.0483542     0.7347695    -0.2046166     0.0196388 
     -3.139      -2.853           7        20.0       550.0      0.893762     0.1550137    -0.2529132     0.1494328    -0.0266874 
     -2.853        -2.5           7        20.0       750.0     0.7789587     0.2050306    -0.1386361     0.0599775    -0.0095149 
       -2.5      -2.322           7        20.0      1000.0     0.6240392     0.4259229    -0.2339295     0.0683979    -0.0079334 
     -2.322       -1.93           7        20.0      1500.0     1.2452558    -0.6548064     0.4624481    -0.1295384     0.0129725 
      -1.93      -1.653           7        20.0      2000.0     1.2037292    -0.5122787      0.338006    -0.0884735     0.0083212 
     -1.653      -1.305           7        20.0      2500.0     1.0396078    -0.1974273      0.122542    -0.0258642     0.0017211 
     -1.305      -0.783           7        20.0      4000.0     0.8431825     0.1427197    -0.0819445     0.0259736     -0.003026 
     -0.783        -0.0           7        20.0     10000.0      0.810669     0.2147859    -0.1211543     0.0332195    -0.0033635 
        0.0       0.783           7        20.0     10000.0      0.810669     0.2147859    -0.1211543     0.0332195    -0.0033635 
      0.783       1.305           7        20.0      4000.0     0.8431825     0.1427197    -0.0819445     0.0259736     -0.003026 
      1.305       1.653           7        20.0      2500.0     1.0396078    -0.1974273      0.122542    -0.0258642     0.0017211 
      1.653        1.93           7        20.0      2000.0     1.2037292    -0.5122787      0.338006    -0.0884735     0.0083212 
       1.93       2.322           7        20.0      1500.0     1.2452558    -0.6548064     0.4624481    -0.1295384     0.0129725 
      2.322         2.5           7        20.0      1000.0     0.6240392     0.4259229    -0.2339295     0.0683979    -0.0079334 
        2.5       2.853           7        20.0       750.0     0.7789587     0.2050306    -0.1386361     0.0599775    -0.0095149 
      2.853       3.139           7        20.0       550.0      0.893762     0.1550137    -0.2529132     0.1494328    -0.0266874 
      3.139       3.489           7        20.0       400.0     1.4533299    -1.0483542     0.7347695    -0.2046166     0.0196388 
      3.489       5.191           7        20.0       300.0     1.6478278    -1.5798517     1.3287325    -0.4809086      0.064409 
[gJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0     2.9845913    -4.7796145     4.3261732    -1.7237619     0.2557183 
     -3.489      -3.139           7        20.0       300.0      0.544832     1.1587207    -1.0304982     0.4012029    -0.0570614 
     -3.139      -2.853           7        20.0       400.0     1.6424642    -1.3910384     1.1712148    -0.4333521     0.0598476 
     -2.853        -2.5           7        20.0       550.0      0.968119     0.2135677    -0.2458369     0.1113655    -0.0172698 
       -2.5      -2.322           7        20.0       750.0     1.2765128    -0.4770472     0.3226793      -0.09562     0.0108143 
     -2.322       -1.93           7        20.0      1000.0     1.0557557    -0.0308581    -0.0148547     0.0156294    -0.0026227 
      -1.93      -1.653           7        20.0      1500.0     1.0479841    -0.0382846     0.0039485     0.0052422    -0.0009403 
     -1.653      -1.305           7        20.0      2000.0     0.7974314     0.4682495    -0.3703722      0.124531    -0.0148866 
     -1.305      -0.783           7        20.0      3000.0     0.8578181     0.3266826    -0.2518465     0.0816742    -0.0093736 
     -0.783        -0.0           7        20.0      4500.0     0.9369789     0.1523089    -0.1154501     0.0361758    -0.0039534 
        0.0       0.783           7        20.0      4500.0     0.9369789     0.1523089    -0.1154501     0.0361758    -0.0039534 
